X,Y,Z
0.0,0.0,0.0
0.0,0.0,0.0
0.03,-1.21,-0.2
-0.55,-0.91,-0.63
0.38,-0.84,0.14
-0.71,-1.43,-0.05
0.08,-0.61,-0.14
-0.53,-0.98,-0.1
0.07,-0.37,-0.12
0.36,-0.16,-0.46
-0.42,-0.14,-0.58
-0.09,-0.29,0.01
-0.5700000000000001,-0.23,0.04
-0.03,-0.12,-0.61
-0.02,-0.24,-0.06
-0.45,-0.26,-0.23
0.21,0.05,-0.21
0.08,0.1,-0.36
-0.07,-0.03,-0.63
0.03,-0.04,0.06
-0.46,-0.09,-0.42
0.53,0.07,-0.02
-0.34,-0.06,-0.33
0.37,0.2,-0.03
-0.41000000000000003,-0.11,-0.11
0.07,0.21,-0.29
-0.13,-0.05,0.0
0.25,-0.01,-0.35000000000000003
-0.12,0.08,-0.18
-0.12,0.05,-0.43
0.02,0.15,-0.07
-0.18,0.07,-0.44
0.14,-0.04,-0.26
-0.22,-0.08,-0.33
0.11,None,-0.27
-0.18,-0.23,-0.33
-0.11,-0.3,-0.23
-0.13,-0.61,-0.41000000000000003
-0.06,-0.48,-0.23
-0.19,-0.22,-0.36
-0.1,-0.48,-0.29
-0.09,-0.43,-0.35000000000000003
-0.14,-0.2,-0.34
-0.16,-0.44,-0.28
-0.28,-0.67,-0.47000000000000003
-0.23,-0.64,-0.21
0.12,-0.2,-0.54
-0.5,0.12,-0.39
0.43,0.03,-0.36
-0.03,-0.54,-0.5
0.08,-0.37,-0.27
-0.11,-0.34,-0.07
-0.19,-0.48,-0.04
-0.33,-0.43,0.0
-0.13,-0.18,0.0
-0.18,-0.11,-0.06
-0.02,-0.2,-0.01
-0.1,-0.21,-0.05
-0.15,-0.46,-0.13
-0.13,-0.54,-0.06
0.03,-0.3,0.05
-0.14,0.0,0.0
0.0,-0.31,0.05
-0.04,-0.3,-0.01
-0.14,-0.23,-0.14
-0.04,-0.49,-0.04
-0.09,-0.37,-0.03
-0.09,0.02,-0.03
-0.09,-0.25,-0.01
-0.16,-0.37,-0.04
-0.11,-0.17,-0.03
-0.12,-0.21,-0.03
-0.05,-0.25,-0.05
-0.06,-0.2,-0.07
-0.07,-0.23,-0.04
-0.08,-0.23,-0.02
-0.05,-0.13,-0.05
-0.08,-0.21,-0.03
-0.06,-0.23,-0.04
-0.07,-0.16,-0.04
-0.09,-0.15,-0.02
-0.07,-0.17,-0.03
-0.06,-0.18,0.0
-0.08,-0.18,-0.02
-0.06,-0.16,-0.06
-0.07,-0.15,-0.02
-0.06,-0.18,-0.04
-0.05,-0.17,-0.02
-0.07,-0.13,-0.01
-0.06,-0.15,-0.01
-0.07,-0.17,-0.03
-0.07,-0.15,-0.04
-0.04,-0.13,0.0
-0.04,-0.13,-0.04
-0.05,-0.13,-0.04
-0.03,-0.12,-0.01
-0.07,None,-0.01
-0.06,-0.13,-0.01
-0.04,-0.14,-0.02
-0.04,-0.12,-0.02
-0.05,-0.11,-0.04
-0.05,-0.12,-0.04
-0.04,-0.1,0.0
-0.03,-0.12,-0.03
-0.04,-0.11,-0.01
-0.05,-0.12,0.0
-0.05,-0.1,-0.04
-0.05,-0.12,-0.01
-0.04,-0.12,-0.03
-0.05,-0.09,0.0
-0.05,-0.1,0.0
-0.04,-0.12,-0.03
-0.05,-0.11,0.0
0.0,-0.12,-0.03
-0.04,-0.08,-0.02
-0.04,-0.1,0.0
-0.02,-0.11,-0.03
-0.04,-0.09,0.0
-0.04,-0.12,-0.01
-0.04,-0.1,-0.03
-0.07,-0.1,-0.04
-0.05,-0.11,-0.04
-0.07,-0.12,0.01
-0.05,-0.1,-0.02
-0.05,-0.13,-0.01
-0.05,-0.15,0.0
-0.03,-0.11,-0.03
-0.05,-0.11,-0.03
-0.04,-0.1,-0.03
-0.02,-0.13,-0.01
-0.03,-0.1,-0.02
-0.05,-0.12,-0.03
-0.03,-0.11,0.0
-0.05,-0.12,-0.01
-0.05,-0.11,0.0
-0.03,-0.12,0.0
-0.04,-0.1,0.0
-0.02,-0.12,0.0
-0.05,-0.11,-0.04
-0.05,-0.12,-0.01
-0.03,-0.11,-0.01
-0.04,-0.11,-0.04
-0.04,-0.13,-0.01
-0.05,-0.11,0.0
-0.05,-0.08,0.0
-0.03,-0.1,0.0
-0.03,-0.09,-0.04
-0.04,-0.11,-0.01
-0.04,-0.09,0.0
-0.03,-0.1,0.0
-0.05,-0.13,0.0
-0.04,-0.13,-0.05
-0.04,-0.1,0.0
-0.02,-0.1,0.0
-0.04,-0.1,-0.02
-0.02,-0.11,-0.03
-0.04,-0.1,-0.03
-0.03,-0.12,0.01
-0.02,-0.12,-0.01
-0.03,-0.11,0.0
-0.02,-0.11,-0.01
-0.05,-0.12,-0.02
-0.03,-0.1,-0.01
-0.03,-0.11,-0.01
-0.04,-0.1,-0.03
-0.04,-0.11,0.0
-0.03,-0.11,-0.01
-0.04,-0.11,-0.01
-0.03,-0.11,-0.01
-0.05,-0.11,-0.03
-0.05,-0.1,-0.02
-0.01,-0.1,-0.02
-0.03,-0.11,-0.01
-0.05,-0.1,0.0
-0.05,-0.11,-0.02
-0.03,-0.11,0.0
-0.04,-0.09,-0.01
-0.04,-0.13,-0.01
-0.02,-0.12,0.01
-0.03,-0.09,0.0
-0.02,-0.11,-0.01
-0.02,-0.12,-0.03
-0.05,-0.12,-0.02
-0.03,-0.1,-0.03
-0.03,-0.1,-0.02
-0.05,-0.13,-0.02
-0.04,-0.12,-0.02
-0.03,-0.1,0.0
-0.03,-0.11,0.0
-0.03,-0.1,0.0
-0.04,-0.09,0.0
-0.06,-0.11,-0.03
-0.04,-0.12,0.0
-0.02,-0.09,0.0
-0.05,-0.11,0.0
-0.05,-0.12,0.0
-0.03,-0.12,-0.02
-0.04,-0.1,0.0
-0.03,-0.09,0.0
-0.03,-0.13,-0.02
-0.06,-0.13,0.0
-0.01,-0.1,0.0
-0.04,-0.1,-0.02
-0.03,-0.11,-0.04
-0.03,-0.1,0.0
-0.04,-0.11,-0.01
-0.03,-0.1,-0.02
-0.06,-0.12,0.0
-0.03,-0.11,0.0
-0.05,-0.1,-0.05
-0.02,-0.1,-0.02
-0.05,-0.11,-0.05
-0.03,-0.1,0.0
-0.04,-0.1,0.01
-0.04,-0.09,-0.03
-0.09,-0.16,-0.02
-0.08,-0.13,-0.03
-0.02,-0.07,0.0
-0.02,-0.1,-0.03
0.05,-0.07,0.0
-0.03,-0.1,-0.08
-0.11,-0.31,0.01
0.05,-0.1,-0.03
-0.02,0.0,-0.03
-0.04,-0.18,0.04
0.09,0.14,-0.1
0.05,-0.43,0.02
-0.04,-0.26,0.0
-0.36,0.17,-0.08
-0.04,-0.35000000000000003,0.06
-0.03,-0.06,-0.06
0.23,0.11,0.01
-0.05,-0.32,0.03
-0.13,0.06,0.05
-0.18,0.0,-0.05
-0.07,-0.36,-0.04
0.02,-0.1,-0.05
-0.03,-0.03,0.01
-0.03,-0.13,0.0
-0.03,-0.05,-0.04
-0.01,-0.11,0.06
-0.08,0.06,-0.07
-0.09,0.03,0.03
0.11,-0.1,0.0
None,0.0,0.01
-0.01,0.2,-0.02
0.06,0.23,0.05
0.03,0.4,0.01
0.06,None,0.02
0.04,0.71,0.07
0.16,0.56,0.04
0.0,0.64,0.13
0.04,0.51,-0.1
-0.06,0.34,0.03
-0.1,0.35000000000000003,-0.1
0.11,0.34,-0.06
-0.12,0.15,0.1
-0.02,0.1,0.17
0.02,0.26,-0.25
-0.02,0.09,0.42
-0.32,0.0,-0.4
-0.13,0.0,0.06
0.39,0.23,-0.18
-0.18,-0.21,0.5
-0.25,0.27,-0.11
0.35000000000000003,0.42,0.39
-0.32,-0.07,-0.18
0.43,0.33,0.23
-0.31,0.27,-0.64
0.81,0.24,-0.15
0.14,0.47000000000000003,0.16
-0.63,0.07,0.34
0.12,0.27,0.22
-0.05,0.38,-0.59
