Standard Deviations:
Ax: 0.006388135066695978
Ay: 0.005744628788441989
Az: 0.006426839233236064
Gx: 0.012538328252781688
Gy: 0.6497147791539476
Gz: 0.3859794319022723
AccX: 0.014865295914379155
AccY: 0.014097182185786167
AccZ: 0.280954879319303
GyroX: 0.0012556631342596218
GyroY: 0.004941640945786385
GyroZ: 0.005014534810007882
MagX: 0.559926178351613
MagY: 92.87709762071759
MagZ: 82.65784093474474
Roll: 0.0
Pitch: 0.40812859691897857
Yaw: 0.41325282068968633
LinAccX: 0.009167527875294446
LinAccY: 0.026137218804675375
LinAccZ: 0.060225803011497756
QuatX: 0.1005157315014067
QuatY: 0.000700609801773765
QuatZ: 0.09958390866196651
GravX: 0.0045309061787534065
GravY: 0.007689239975425342
GravZ: 16.19468043036118
